InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Category,Season,BasePrice,CompetitorPrice,PriceChangeFreq,PriceStdDev,PriceRange,DemandIndicator,NumRivals,PriceSyncScore,ReactivePricingFlag,SearchDuration,PurchaseDelay,NumSearches,ADPExposure,DidPurchase,MitigationApplied,PriceMatchingFlag,VolatilityScore,TrustScore,CollusionFlag
INV500000,21730,GLASS STAR FROSTED T-LIGHT HOLDER,11,2011-02-09 16:42,5.97,C17334,United Kingdom,home_decor,winter,4.25,6.66,2,1.453,6.324,1.319,6,0.389,0,5.8,3.1,4,9,1,0,1,0.428,1.8877,0
INV500001,85099B,JUMBO BAG RED RETROSPOT,2,2011-03-01 12:59,2.65,C18439,United Kingdom,bags,spring,2.08,2.7,1,0.712,3.43,0.944,1,0.24,1,9.4,0.6,2,20,1,0,0,0.4238,1.4041,1
INV500002,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-12-04 10:38,5.15,C17279,United Kingdom,clothing,winter,3.39,5.24,9,0.453,1.713,1.531,2,0.425,1,4.1,0.4,2,5,1,0,1,0.5219,2.0346,0
INV500003,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-09-06 12:33,8.46,C13930,United Kingdom,toys,autumn,7.65,7.96,2,1.865,6.826,0.948,3,0.516,0,4.3,1.2,2,27,1,0,0,0.4639,2.6673,1
INV500004,84406B,CREAM CUPID HEARTS COAT HANGER,2,2011-11-20 18:35,3.83,C15987,United Kingdom,home_decor,autumn,2.75,4.38,2,0.38,2.059,1.179,8,0.694,0,4.0,1.0,2,5,0,0,0,0.3577,1.9468,0
INV500005,85099B,JUMBO BAG RED RETROSPOT,5,2011-09-24 10:26,2.86,C16057,United Kingdom,bags,autumn,2.08,2.09,2,0.131,0.574,1.139,8,0.426,0,9.3,0.3,1,16,1,0,0,0.3488,2.6954,0
INV500006,22423,REGENCY CAKESTAND 3 TIER,16,2011-08-28 13:18,14.66,C18070,United Kingdom,kitchen,summer,12.75,13.61,1,1.744,7.234,0.851,4,0.379,0,2.9,9.3,1,8,1,0,0,0.3543,2.1762,0
INV500007,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2011-10-22 14:11,3.06,C17536,United Kingdom,home_decor,autumn,2.55,3.14,2,0.798,2.67,1.107,4,0.237,1,5.0,0.3,3,13,1,0,0,0.4074,2.655,0
INV500008,21212,PACK OF 72 RETROSPOT CAKE CASES,4,2011-10-24 12:38,2.92,C16846,United Kingdom,kitchen,autumn,2.1,3.28,4,0.462,1.478,1.26,5,0.523,0,8.4,0.2,2,10,1,0,0,0.5545,1.2424,1
INV500009,21928,JUMBO STORAGE BAG SUKI,1,2010-08-16 15:56,2.34,C13353,EIRE,bags,summer,2.08,2.13,1,0.263,0.942,0.888,4,0.269,0,2.1,0.2,1,11,0,0,1,0.3205,2.2774,0
